Name,ETH Wallet,Handle,Discord,Invited By,Link to Tweet
gman.eth,0xC6Aa79A22B08C794B25Dc58cb36F2250779CDF4f,gman_eth,gman.eth,DappPunk,https://x.com/gman_eth/status/1848778185892085873
gmmoney,0x34E03545E5527F54243ce5a4f88ebB202Efb0AE3,gmmoneyETH,gmmoney.eth,cadmonkey,https://x.com/gmmoneyeth/status/1857188479903441303?s=46&t=-7q1g9kGO4HGVZOMO-3YqQ
gmoney,0xf0D6999725115E3EAd3D927Eb3329D63AFAEC09b,gmoneynft,gmoney0001,Justin Trimble,Asked by Dapp to tweet after launch
Goblin,0xA64d73B12bDfFDabe471C3A47fe3cF1d14C42e82,J_Taylor_Koch,goblinko4472,BK,https://x.com/j_taylor_koch/status/1854285754874077287?s=46
Goblue〽️,0x7d6e292d76b87a96f5a0c9209609c504efcbb4c7,bee__wells,JBP3428,Max,https://x.com/bee__wells/status/1848005783553790251?s=46&t=4hX-02A5Vhh0foL82LTe0g
Goldmember,0x85CA29B5Fa7BC36c80Ff0b461cbCcaAfDd3701B3,goldmembrrr,goldmember_,Bdez808,https://x.com/goldmembrrr/status/1851615706854400166
Gozde,0x0503bF05c49F96faaC2B0f5fD394672eD4603C52,gozde_ekz,gozdegozde,serc,https://x.com/gozde_ekz/status/1849049421817794814?s=46&t=cinsZTAiCljB0mxBZXX0Tw
Gr1ndhouse,0x5f2abc70bb1567c7807da87e944ddf965a0846bd,Gr1ndhouse_art,gr1ndhouse,Ol1y,https://twitter.com/Gr1ndhouse_art/status/1847354036888183074?t=S3uBca-uy2vUbInp-OAVMA&s=19
Grail,0x5Fb7a3cea470f71059b29f483E18d8BcA31C9ED8,gaelcorboz,gaelcorboz,Gozde,https://x.com/gaelcorboz/status/1855604071966597204
GrandCru89,0x8f55b286b1E4f2AeE061024F5766698f57434D8F,Kayvan2sfo,GrandCru89,DappPunk,https://x.com/kayvan2sfo/status/1864011877774463090
GrandpaApeJ,0x6F1320B9b49452bf2912258591883a456e54dadB,GrandpaApeJ,captainrex8,djtsoi,https://x.com/GrandpaApeJ/status/1847224506223366557
grantland,0xd8b07BC1bC3bAe553BCA5E94E99935dC12Df24Ff,grantlandog,0xgrantland,iiaone,https://x.com/GrantlandOG/status/1862628629458386997
Grayson,0x87855458b82dfa1f746a8337875a2a5021Ed0C06,GraysonHaaroon,totobeast.,axeronix0308,https://x.com/GraysonHaaroon/status/1862579529094451419
GreekFreak,0xB3E7355d9535008c186636f946dAF9Ed0529e827,greekfreaknft,GreekFreak222,Hucian,https://x.com/greekfreaknft/status/1859080343145640032?s=46&t=pgqoDSm347B9Vz-bL30q7g
GreenGeorge,0x61c4a9107de33e75ED6FE29550Ae2cc29cEd2264,greengeorgehl,Greengeorge,Mirror,https://x.com/greengeorgehl/status/1856525396545524029
Gribb,0x97698856E4D8506357fDEfb490BE78487b457A65,_gribb,gribb,Yuko,https://x.com/_gribb/status/1848784904584142922
Groov,0x8b884b4d7CCdAa83DCf1A80AB185cc4d02b5186D,iworkincrypto,groovjke,7lcm7,https://x.com/iworkincrypto/status/1858669997725253724
grumpy,0x451dD290Fa6c7046A9fca8C8d3d62D038D8c7ff5,lolanoodle,0xgrumpy,Mirror,https://x.com/lolanoodle/status/1858062407857562083
gui500.eth,0x053073cB4CDFD57a6F63aD833160AF9B22c3c96b,ultramilionario,1nftgui,Lalo,https://x.com/ultramilionario/status/1857095554783715422
GuiB,0x151511aD7D5414246B36361a3f7FB5432dde642d,guibensiman,guibensiman,Lalo,https://x.com/guibensiman/status/1857125485500907939
GuruNeo,0xFD2FD88e81aF31D26B8141B5e9dE17e67D59f5BC,BabyFaceSage,baby_face_sage,Mirror,https://x.com/BabyFaceSage/status/1858039648427151401
h0nkY,0xF12E9aF92f20fF198333AF9E68bd6caCCad26499,h0nkY_swiss,h0nky.eth,SteveZ48,https://x.com/h0nkY_swiss/status/1853819335124357509
Haackas,0x282E129d7732C26bc01A8c49aE84833b9117b53b,Haackas0,haackas,zeroxnft,https://x.com/Haackas0/status/1860340742931026210
HAL,0x435a4CCC3712B0B40cE16A1C7Bfa263Ed6e9Bb33,42ordinarymice,42ordinarymice,Lukeylupin,https://x.com/42ordinarymice/status/1855651763635855658?t=HVocAktwgLl-DJKGd2m-Iw&s=19
Han,0x89cbB15C7AB08A39328B0E3dDf8CFFa8D7c50899,hanrgb,hansaglam,Justin Trimble,https://x.com/Hanrgb/status/1862554392257262032
Harsha,0x0f94325DCc0e118fb3454Bceff6bcd814aD2b58f,harsha_nik,_harsha_,Aleks,https://x.com/harsha_nik/status/1853826843264090259?s=46&t=LKtQeaw-deFMd-SOkuMKZA
Harwoo,0x714BeeBF59bb724F7a13459E4DF7E4716EddcC1c,Harwoo4u,Harwoo,RunJ,https://x.com/harwoo4u/status/1862529884272099559?s=46
hashxplorer,0x08ADb99AF2B78AAb79e8bEe60dfd124C24C68926,hashxplorer,hashxplorer,rainerhosch,https://x.com/hashxplorer/status/1860069167971598737
HB1T,0xA428d158a2b07082d26BcB0b995b5F8c784340f2,b1ts_y,marlock5771,Perpetual_cgi,https://x.com/b1ts_y/status/1857223353439785255
HdOlivares,0xf48Bc9240f513e763Fe7E0943Bc040c89Dd2DF8B,hd_olivares,HdOlivares,Anon333,https://x.com/hd_olivares/status/1858374802886533329
Henry Brodie,0x61E725451C31189A32a6ffb604B7C23475EbA10b,HenryBrodie,henrybrodie,Max,https://x.com/HenryBrodie/status/1846837862584455467
hewpdreams,0x56543717d994d09d5862ab9c6f99bce964ae664a,hewpdreams_,hewpdreams,bastiboii,https://x.com/hewpdreams_/status/1862295813281784261?s=46
hhjacks,0xaA5E2BAea41c2728022da09832d19eB4923c06e8,hhjacks,hhjacks,Max,https://x.com/hhjacks/status/1861266259805184028
Highgaz,0x96F760422c71E9D83b751C6e937D52E2062BB8F5,highgaz,reszkovy,DappPunk,https://x.com/highgaz/status/1846423463902482834
HiLL,0x69b9226547b18Ae24d9AEaB5d4054448AB1145E2,HiLLCoRe1337,Hillcore,FerLoko,https://x.com/HiLLCoRe1337/status/1858612604668948594?s=19
Hinnerk,0x60e2bc826DD5e5DbA8FF35b1cA079e66680dd33e,hinnerktv,hinnerk0501,Ramon,https://x.com/hinnerktv/status/1863566648759689338
Hobbes,0x8837dDe34B64f8205f92967bA0F85dE14948Aa2c,HobbesNFT,hobbes6,chikin,https://x.com/HobbesNFT/status/1858639099134972076
Hobetrades,0xF5B6D67C9f0b8e035693FabDe9d52Df9B6FCE2b1,hobetrades,KingofGames,Quamfy,https://x.com/HobeTrades/status/1862536189523173848
Holger.J,0xC0941Fd0ae89b4081b6519C7Af25867c9c262CB3,wurfi1gmxde1,holger.j,Tarisde,https://x.com/wurfi1gmxde1/status/1864248046101418463
Hollet,0xb23087BdAe5Cb1b8d821a7F6fE368DC727BF73Dd,Bitstacking,jamiehollet,metaverseriding,https://twitter.com/Bitstacking/status/1862539206792302890
hqd,0xb6eFe7bD952e15a450EDaC1E50e9Cc67760B9fe5,highqualitydgen,highqualitydegen,Aleks,https://x.com/highqualitydgen/status/1858294611459915929
Hucian,0xA2036b4749f519d6846970622897e398F58027Ad,roba229,Hucian,iiaone,https://x.com/roba229/status/1858665690959417421?s=46&t=YYXR3yIq0l2eidd4nST9Ag
HugeMistake,0xF775EFBa7cE6C60161392cb67E0760a6C234D42e,HugeMistake,hugemistake,djtsoi,https://x.com/HugeMistake_eth/status/1862873860875657419
Hugo,0xE250c7540ffC0fE802A3cd1ba907addE9D410051,alwayshugo3,Alwayshugo,iiaone,https://x.com/alwayshugo3/status/1857257052596265052?s=61
Hugo Faz,0xC839de0fEd241607d50aa4107aE582443B906e4c,hugofaz,hugofaz,DappPunk,https://x.com/hugofaz/status/1846980253949862293?s=46
Hymmm,0x255CA91914157ACC612a0f864A9B2b5561C8425C,Hymmm_10,Hymmm,Richie_Likes_Jpegs,https://x.com/hymmm_10/status/1859014301006393556?s=46&t=OkMHnyEwACYOfpsJ3R8uug
Hyperspek,0x5C4FE960950BA0E09A72869C3D51fe70f07580e0,Hyperspek,Hyperspek,Max,https://x.com/hyperspek/status/1846702798747963480
ianCARTEL,0x64dB00C74Af5C98b30EBdECb526964634997A7E7,ianjgipe,iancartel,Shane Lavalette,https://x.com/ianjgipe/status/1846941235644092717
icculus,0xDF28f28D43002a99D77D23343b9CA05bBdAA7aa0,glassicalfunk,1cculus,dannygreene,https://x.com/GlassicalFunk/status/1857179885837709741
iddxd,0x9E005eA686D99feBAEDd8bdBf3440C15233c4B34,xxidkfaxx,iddvd,montanakind,https://x.com/xxidkfaxx/status/1862600009260122595
igmaverickk,0x1Bb66d387be202F35489f951eB9fdf5056907b69,sigmaverickk,igmaverickk,Axaos,https://x.com/sigmaverickk/status/1858591363505549464
ignft,0x019F52235319581784a404D9F3C80E4b03285CCd,ignft_,ig.nft,memories,https://x.com/ignft_/status/1861980394465415374
iiaone,0xAB078F1e310C3F6B9a6b6C91f23C6cb5f09Fe61c,iiaone,iiaone,ThePunkAnimator,https://x.com/iiaone/status/1863859379881017402?s=46&t=wZZdo5mzvW3B0YxLemf01w
IJ,0xc0C5147F390f46d6322E5f038982093156fFE3e8,ijcollects,ijcollects,punk9527,https://x.com/ijcollects/status/1862553494773015002?s=46&t=m-WFEgfrrBrruJFiYDT8Zw
implantsanta,0x18E0f9AAdde970D74430cC8636A381CcFCD1F559,implantsanta,alphabruhs,DrNelson,https://x.com/implantsanta/status/1862542694335357179
insertcointoplay,0xe23D58F682aC05D3F0f0c997f431C5b4D8D9A9b3,NeonFungiTrip,insertcointoplay,ThePunkAnimator,https://x.com/NeonFungiTrip/status/1846939072222175606
insider,0x65720Bb1f5d0bAD279e6fb3e03B116771D0321FC,0xtsider,0xtsider,Khalissman,https://x.com/0xtsider/status/1862360183537557742?s=46&t=uD3mVRPqzjsJsjwUMQhlog
Internetmoney,0x00a97CE41757a950077cca320Ea73FE8009d1164,internetmoneis,.internetmoney,MrInternational,https://x.com/Internetmoneis/status/1846985976973087020
Invemos,0xF2CBbEE323DEC2765395e1C48ED0077EB5d5AF6C,Gianluinv,Invemos,Bjorn,https://x.com/gianluinv/status/1861002686130270314
IRA,0x1e33c380f0D92E2447B06E2011BB1Ba682FDa92F,IRA_therabbit,nftsiti,r0ughnex,https://x.com/IRA_therabbit/status/1861407943138164749
IRIE,0xA077DAfc545ABBf2167B674D74717ba3C6127FD0,zeen1875,copypasterekt,iiaone,https://x.com/zeen1875/status/1860319308158488810
Irish,0xfbd56B2c3BfAa52b37E37d16BAeBA21323473869,Irishmikeys,irishmikey,TheRealCarlo,https://x.com/Irishmikeys/status/1853817134209515750?t=PANnuAxCwbB2MvB0p1xPjw&s=19
IRL Lemon,0x0335bD5215A5e42c3beB20B30DFaF803c0901786,IRL_LEm0N,irl_lemon,dojer,https://x.com/IRL_LEm0N/status/1862568503737274399
iuri,0xE4C6c46645988bBafd8ef6B4d1b60D969cC857C3,ik80,iurikothe,Plum,https://x.com/ik80/status/1862176423139565853
izzipunk,0xA71d5b63A34Fe15b0d210d2417bC523642792E96,izzipunk,izzipunk,Max,https://x.com/izzipunk/status/1856176037950083120
J3FF,0x365d622b778234C5ADD193580D9099fAcFCF5Ca7,web3jn,web3jn,djtsoi,https://x.com/web3jn/status/1861210041157853317?s=46&t=-P58vSp3sgJZcXf5TFS7-Q
Jakub,0x38EED3CCeED88f380E436eb21811250797c453C5,jakub_rusiecki,jr217,Henry Brodie,https://x.com/jakub_rusiecki/status/1858570160048927009
James Joseph,0x797764549FA1eC1a2851fD07EDb3dFaBf073d756,jjamesjjoseph,jamescybr,rainerhosch,https://twitter.com/jjamesjjoseph/status/1860037555628179882
JamesCrypto,0xcD8868F89BFF92E511E6586bb122fF8b428e3ef8,jrcCrypt0,jamescrypto,Lalo,https://x.com/jrcCrypt0/status/1857077864685826075
Jarvinart,0x3B3c98E3Dfa12068F182CaB14265Bbf38E1988f6,jarvinart,Jarvinart,burtonair,https://x.com/jarvinart/status/1858583113472901221
jason,0x84719A4d5c464022202591687debf46bef00F40b,jasontwlee,jasontlee,d3aler,https://x.com/jasontwlee/status/1858409629635711262
Jaszul,0xe61DA64A047447978074B2f6562522477C6bD1b6,JayHydrate,jaszul,bastiboii,https://x.com/JayHydrate/status/1862223243068809453
Javier,0x11f5e34a2d1fcbdfe75a9313fc4af1f8bd391a59,F_Javier_Padin,javier_padin,SmythMr,https://x.com/F_Javier_Padin/status/1857171003140415901
Jaybaum,0x1CE9d62Ac3DD1b897d582cDa4075793ee8D0bfD3,JayBaum1111,Jaybaum,LargeTuna,https://x.com/jaybaum1111/status/1855637632765874400?s=46&t=DQsu41YgT26v4iEZQdzlrg
Jaymes,0x4E921dd91a268Ef8eDA056C139e9dbc666578D03,jaymesrogers,0xjaymes,andrew,https://x.com/jaymesrogers/status/1859950955145626052
Jed,0xf43312A77e6F26BFDD941729C3d0f842FCaF4466,Reef_X_,reef_x,Perpetual_cgi,https://x.com/reef_x_/status/1857221072535290123?s=46&t=ojBQkg7E9yb0zZJplBvNLQ
jered,0xdA28431f8c060E2a971209e29d0Ad1dFcC921746,ChidoBandito,jerediscool,ferloko,https://x.com/chidobandito/status/1862633678171460080
Jerry Jones III,0x1bc7164c30dc33f2acf0723da3831db6a728732c,jerryjonesili,rickspyder,PENN,https://x.com/jerryjonesili/status/1849832520575025224?s=46&t=JSZXiCAvLKUldD-GOWpyXg
Jessejam,0x1838FcF50AF5f96Dc0793Ed744630398b7b4AC1b,JesseJessejam,Jessejam,Mirror,https://x.com/jessejessejam/status/1857896094669352971?s=46&t=2tp9b9bFoFjotOVXpee8Aw
JillyBean,0x0A68a130d743c815357afeeDf61300B6b994Fa10,jillybean04,jillybeanfun,Matahari,https://x.com/jillybean04/status/1859906234813759999?t=z3lKUSMgIjGVZrV0N6STzg&s=19
Jimminy,0xEA9F83606EA6b80f15DdCfc8bAcD61DF1A12225A,crip_jim,jimminythesaurus,Mirror,https://x.com/crip_jim/status/1858052423161380966?s=46&t=0kzgL6Cr0EABAtuGG24msg
Jinwoo,0x365Bfc36811707454dF7b7D87e7581A49d1A71B5,Jjinwoo30,jjinwoo,memories,https://twitter.com/jjinwoo30/status/1858584281607794750?s=61&t=Y_soR4m67zLIrOhmmE4_tg
jitterypixels,0xc99Db2ca9A7c64599593D3d189fc338FEa6be46E,jitterypixels,jitterypixels,Killian Moore,https://x.com/jitterypixels/status/1855662474684461421
Jkwon,0xAc912D99D40aAF02eCfEbA67B3dbA1D7E8bBEDab,jkwon247,jkwon247,Mirror,https://x.com/jkwon247/status/1859210296222457901?s=46&t=_Fz4bEBGZREVS1e3CypgYw
Jobin,0xd75D6dA0899B25c1aD52903Fe40D8dCE300Fc7fD,thejobins,Job1n,BiggiePoppins,https://x.com/thejobins/status/1853951089550168344
Joff,0x7F5525da29FE1D12E63BC7761d606AE1B29b2D0d,joffnft,joffff,BiggiePoppins,https://x.com/Joffnft/status/1853957220616253528
joh55nn,0x735AAF069f9207021Ff53fc8FE208003B32D7453,joh55nn,johann4715,Max,https://x.com/joh55nn/status/1849161838358839801
Johndoe8891,0xa5DcE742F3775059d9406342D2ECBB0Ff8E3a3c2,johndoe8891,johndoe8891,MaryPat,https://x.com/johndoe8891/status/1855651710183809078?s=46&t=Ml2Lsqo9j87UQIBtU-Wh-Q
johsoo,0xBe1EC24BB1B175394fa0891Dc749Dfd2f71E1c57,johsoo7,johsoo,Pinkocto,https://x.com/Johsoo7/status/1864174061011570689
Joker12,0x740C569F20076F1D96be1222240d55A5eED29Df5,Afs2407,afs247,DappPunk,https://x.com/afs2407/status/1848990641528688683?s=46
Jonathan,0xB3EEe85e42036e59C752bB6f82bF5269781Cfc2d,JonathanColon__,JonathanColon10,BiggiePoppins,https://x.com/jonathancolon__/status/1862582402704364015?s=46&t=xolk32TU4KW47XtvRLrOxQ
Jonathan Little,0x6B6aE848F555f70944Bc99D736fe29fcAeCF8b23,jlittlenft,jonathanlittle,VonMises,https://x.com/JLittleNFT/status/1862653126936826158
Jonathan Mann,0x3d9456Ad6463a77bD77123Cb4836e463030bfAb4,songadaymann,jonathanmann,lorepunk,https://x.com/songadaymann/status/1857497490838401488
Jones,0xc4056938f53A7208d8e0DB4ed79e253Bdbe07D22,Emilio_Padulo,jones0662,djtsoi,https://x.com/Emilio_Padulo/status/1863789876661178867
Jonooo,0x54F4f34120333e276beb4E7a8EE3f0baCd5641aF,im_jonooo,.jonooo,RacBrasti,https://x.com/im_jonooo/status/1856031065367822651
Josh,0xaCe3898B6e111F8154234E22d248cc3165ceE849,xeternalsx,pyroxtremist,philipyoong,https://x.com/xeternalsx/status/1862598646728196381?s=46
jpgtrdr,0x3c009Ea9ccef6832Dd1f4489c6BC871a5a321397,tradertrader350,h0plo,thatFinchguy,https://x.com/tradertrader350/status/1853948384052425021?s=46&t=pMaEFHhqyCO5xlehmw1NjA
JTobcat,0xa5A0b7c3dD5dddBFbD51e56b9170bb6D1253788b,JTobcat,JTobcat,dievardump,https://twitter.com/jtobcat/status/1862617901410230680
julianonh,0x5B04F4810C3a1b72976784fad8092b327739D127,jthiesennh,julianonh,Lalo,https://x.com/jthiesennh/status/1857040713260691860
JusticeAlbatraoz,0xF7c9108B5ffC3e8dc0059bCE4A13230911CB8451,JusticeAlba23,JusticeAlbatraoz,bochbet,https://x.com/JusticeAlba23/status/1853668507701191067
Justin Trimble,0xDf4C62f992Ab29c3649Db1Fe65425c055B5c3913,justintrimble,justintrimble,Denis17,https://x.com/justintrimble/status/1862343672013963771?s=46
jwphase,0x189ec2582804221760B6a41a3A105011987fA594,jwphase,jwphase,Shane Lavalette,https://x.com/jwphase/status/1846941192539226512
Jwshua,0x5AFbb53859d3b62da694E60753c3B599DfE2Ff40,jwshua,.jwshua,Rugema,https://x.com/jwshua/status/1854123719947374862
jyg-ghanc,0xe18e7D7D3824B9F10e72d602727EF7758108CA37,m00nmemeartist,ghanc.,RobRunner,https://x.com/m00nmemeartist/status/1846997854717362336
K0RG3NS,0x7bB7180f0310b8E5cCF8acd8548bF6de183B0e5F,Korgens1,korgens,tokenbaldguy,https://x.com/Korgens1/status/1858940478000943171
K3v1n,0xc0b207C4342FfB916a25229BEF86b9B6E59EccDA,Kevmallon,P33kingduck,Yuko,https://x.com/kevmallon/status/1862573178758795327?s=46&t=Orf4MO6Pi3SMjJElQFr5fQ
KaruptKP,0x06e1ab8baa241b8a527dbc320573305c7ee80528,KaruptKP,KaruptKP,Copeingmekenism,https://x.com/karuptkp/status/1849609310957105482?s=46&t=zrNrfRS1YUE6WDVBzqFaew
kb13,0x250af1121d950c33ed398aef8b63b750578e9b47,burntends13,kb_13,ThePunkAnimator,https://x.com/burntends13/status/1855994299164274848
kevin,0x4D5368ef387897798c7fb0b1f34F5A21eeae36f5,kevincrypt69420,kevincrypto69420,bochbet,https://x.com/kevincrypt69420/status/1857377138334367932
Kevin Lambert,0xd498471e2216A42B5E4684dD3E7AaBe1E135E0C5,kevinlambert,Sylvermyst,Anon333,https://x.com/kevinlambert/status/1859085708389957701
kevolution,0x5529e0608cFC0caB5Bb86B59CBa7E88F0F66dFeF,0xkevolution,kevolution,Mirror,https://x.com/0xKevolution/status/1857897812077457676
Khalissman,0x414826bEb718F2b204Bca67b949604bdC739fCBA,Khalissman,Khalissman,Piair,https://x.com/Khalissman/status/1846870674393948443
khan,0x969C00942e13358a5b704f5105FB41017c15BcAf,khanzynft,khanzynft,Mirror,https://x.com/KhanzyNFT/status/1857992302330773769
Kibril,0xd05A64BF3bDC0f95F40b0e561F41795BB2293d23,Kibcryp,mitkibril,Rusty,https://x.com/kibcryp/status/1851971382441115819?s=46&t=LO9VLJdK3xG0duufaO_LIg
Kibz,0x39436E22EC425e93EB5C5136389B04854c142310,Kibz___,kibz6500,ThePunkAnimator,https://x.com/Kibz___/status/1846834492486341068
Kieran Kelly,0x56a603822A9C4Db9B9C99cd06201Bb0784F8bB00,kieranmlkelly,kk13131313,Blokculture,https://x.com/kieranmlkelly/status/1847211510373732822?s=46&t=_4D3WtlRQQU73vRC8k53aw
Kiiger,0x569C550B38B46395a5D5d527CEd86B1AC46030bd,Jkiiger,kiiger,Yuvi,https://x.com/jkiiger/status/1848791103224336444
Killian Moore,0x1C5762F9899B46c19d4C9B8FBDD38D35856227f3,killianmoore_,killianmoore,Dro,https://x.com/killianmoore_/status/1848093088558006486
Kinaz,0x9582B144157087057E602143d1d050ec22BD218f,Nekminartz,kinakut,Bdez808,https://x.com/Nekminartz/status/1855653074993647658
Kingbab,0x27022024ee72f3eac18b88df732830d5ffff5a64,kingbab_eth,kingbab,ChiefNoodle,https://x.com/kingbab_eth/status/1854919581942366257
KingKun,0xbF19869135096B09A46E443ac40cb185A9a59D91,IKingKun,kingkun87,bthemouth,https://x.com/IKingKun/status/1857178954097975374?t=x4Ln8G5MjMa-yR11vDBfTw&s=19
Kinny,0xfe57Fdcd9d0dF47356CcdEbe08f3Dc454e472f9B,ikcentrik,kinny.eth,Shane Lavalette,https://x.com/ikcentrik/status/1861146921156354284
Kira,0xCd9Ec6B440885f8feC84532657617FFa2f53e177,cryptokarthik,cryptokira,Memefomo,https://x.com/CryptoKarthik/status/1859348963943645329
KJ,0xEE831941f81BdB1a9862FeCE8382EaB551701448,lionlegend4355,Kryptojan,Rock,https://x.com/LionLegend4355/status/1857242117854105670?t=q5_9FD4qyr1BFXZkCRGCrQ&s=19
Kmo,0x9f2D575Ad3629ec4A0F92Fe6aC1559ea575E7e96,kevin_moy,k_mo,Bdez808,https://x.com/Kevin_Moy/status/1858211164750270614
KobetsuKaizen,0xb869be169F75A67957284452DBC02acED501d2e6,Kobetsukaizen,kobetsukaizen,Balyan,https://x.com/kobetsukaizen/status/1855928633233207726?t=ObQZXvbgzkb3TzVKV-nU5g&s=19
Koja,0x6ECaE358e99DfDD1aBE900BeBE5f775431c12324,kojadesigns,kojadesigns,#1 crush,https://x.com/Kojadesigns/status/1862123719029661814
Koro,0xDBD82DfFF9790C6e28947962bB006CaFcb628Ad6,Korosens31,Korosens31,Spooky,https://x.com/KoroSens31/status/1861082159077118013?t=uJSnxGjONx9zCDCffb7wQw&s=19
Kortez,0x5825d95F51a64A318171D3e7C9CaE80eaD2fbac1,kortez033,kortez4719,Zzoja,https://x.com/kortez033/status/1850904648732864771
koshercowboy,0x9ecf343f68eec9a5f259f02ac3149e3b3b867445,koshercowboynft,koshercowboy,MaryPat,https://x.com/koshercowboynft/status/1855603145004445713?s=46&t=S3tWLe1gYvPrX7bvyumIQQ
KozyTRMNDS,0x91d9209A6a5506eDBE16085d0411375d27477925,Kozy_TRMNDS,KozyTrmnds,TheRealCarlo,https://x.com/kozy_trmnds/status/1853826740277387726?s=46
kraiven,0xd5bB6ac79482467103263B818f2d8462224F6133,AitortuGas,cryptortle,ThePunkAnimator,https://x.com/AitortuGas/status/1846989076173672681
kripster,0x65E78473f91DB2B19B8123d5914B002f57E4e283,kripster,kripsterama,burtonair,https://x.com/kripster/status/1854851533545800095
Kriptach,0xb4d94c0f79Fddf080affc9cA77A27e7A74D89bC3,kriptach,luchshe,Demian,https://x.com/kriptach/status/1858541349307400686?t=0ApWu8DOZjmZ2WXu3ZkmDA&s=19
Kromatikus,0x15571c266CA224597241038C1fEC08D177197763,Raginmones,.kromatikus,YeeitsDan,https://x.com/Raginmones/status/1855792162899947871
Krou,0xCbcB8A49716228e93f31759500A5D378F3582954,nft_pilot,krou.eth,Mirror,https://x.com/nft_pilot/status/1858165753825939550
Krypto-J,0x9C45Ff701893f612604Ae486Dc3dfCef74905A17,kryptoj2,kryptoj,TheRealCarlo,https://x.com/kryptoj2/status/1853850169193709588
kt,0x7349Bd4F327E697814Ff96Ac48861B44562ed722,kt_824,kt_824,Max,https://x.com/kt_824/status/1846827507565449257
L1,0xcA96B82Ba79A602EE335564722335f66288b017d,thelittleone221,littleone7905,PJGlitch,https://x.com/thelittleone221/status/1861705441706639716
LadySlipper,0x51409beE46664b9044731824578b9D3213bfE647,ladyslipper707,ladyslipper,Ferloko,https://x.com/ladyslipper707/status/1862570820150632643
Lalo,0x9Fe686D6fAcBC5AE4433308B26e7c810ac43F3D4,shroomiebr,lalotrage,ThePunkAnimator,https://x.com/shroomiebr/status/1853764271970177426
Lamine23,0xA3132430b7EfC00356Fa78f9A11251Ec30368f63,Lcheloufi,Lamine23,Jwshua,https://x.com/lcheloufi/status/1855326873624227978?s=46&t=DEl9hwVs4CazWnhJdlV8Bg
Lanamour,0x35Ca14EdabB3Cc0D3fA01808Dd9AB5deeB59b63a,lanamour69,lanamour,Max,https://x.com/lanamour69/status/1863894157397315621
Largetuna,0x7df93b753b1bdc2f506ec82085300a704236e0d6,largetunalt,Largetuna_,Aleks,https://x.com/MrMunrose/status/1864141204624920801
Lauwverse,0xA3C07Ec4836A9B8e312B83Ae361Bf27cFBA8aFEF,lauwverse,lauwverse,Anon333,https://x.com/Lauwverse/status/1858412170058268866
lazy_sandro,0x1Fa4e96db8ec57e826f5E8251c6A3fB327868226,lazy_sandro,lazy_sandro,Mdiac,https://x.com/lazy_sandro/status/1856024478720958480
leafswan,0x5a8116f07937394e6Ac2A51995Ab6a054C08bF9e,leaf_swan,leafswan,TCF,https://x.com/leaf_swan/status/1849038879862530434?s=46&t=yOWqxphdVd6LZirOTWTydw
Leandro CryptoMotors,0xc8c4ab6e1e7dcc4e2957244baba86ed937dc0ee8,belloneleandro,leandro_cryptomotors,0xAllen,https://x.com/belloneleandro/status/1862414596180443560?s=46
LeftyTran,0x6e4ec434353FE3A7d9D0B5e0Ba4500d9945289Df,leftytran,LeftyTran,TheRealCarlo,https://x.com/leftytran/status/1853785887097901335?s=46
lehson1308,0xeaE9870e408327733aACBa4BdC33FC14822a48Da,lehson1,Lehson1308,Anon333,https://x.com/lehson1/status/1858387687998406830?s=46&t=jEXKEGsRjpZSZVHhOktxow
Lemat,0xf0273697771599cD356aAf34Ef64D457170BBE8f,lemat_,lemat_19837,punketo,https://x.com/Lemat_/status/1855679217477800222
Lemon Boy,0x974aF4b22E1d0fcF2dd1549A25b867a8AaAF07A7,BadLemonBoy,.lemonboy,Mirror,https://x.com/BadLemonBoy/status/1858867514140172713
Leo,0xc9Db33F8DFdd1ABdA5871416559Ed94CE9c8fdc4,LLisikan,drleon11,groovjke,https://x.com/LLisikan/status/1858681442160582722
Levi Fidelis,0xE60Ed4375B8771330e67D2037d1D264A2535F0cc,levifidelis,levifidelis,Lalo,https://x.com/levifidelis/status/1858601047326920838
Liam,0x8476B6a8aA0B4037e69e79f116F662aA0096B0c0,liamherbst_,liamherbst_,cadmonkey,https://x.com/liamherbst_/status/1862624346709057739
lichun.eth,0xB77F661FdF4f5908B37Db4536A150E549C934c5B,lichun_eth,lichun.eth,Max,https://x.com/lichun_eth/status/1856155563433812237
Linus Caldwell,0x9Bc910f14B0EE83689B9F49337B1dfD2962dBB94,linuscaldwell5,linuscaldwellalphaversecap,Shane Lavalette,https://x.com/LinusCaldwell5/status/1861628498118361089
LitAndSmitten,0xC6a9Fe0457759B07a63a6Cb4723c5F7C56e10c01,iNFTMatrix,LitAndSmitten,DappPunk,https://x.com/inftmatrix/status/1858739301678543345?s=46&t=ehyfHd0l9M4ZRxsjrWk8kg
Loco,0x2edd93783962b742AFEe8F1cE8DCA824718eaEB9,Lidaliste1,loco69,Lanamour,https://x.com/Lidaliste1/status/1862554311814775142
Loki,0x11158bf52b765d79f69b17fc509a678bcab7a0a8,LokisNFTs,nonfuntok,P³,https://x.com/LokisNFTs/status/1846933517533696314?s=19
lookinrare,0x957291Eae3d53b5A7c0A6BF2C0F08de5d87b14f6,lookinrare,lookinrare,Max,https://x.com/lookinrare/status/1846709455808766207
