Name,ETH Wallet,Handle,Discord,Invited By,Link to Tweet
Azerty Betamax,0xE90988f9B86e2658FED39069f535DDc0Ff0736c8,azertybetamax,Azerty_Betamax,Ol1y,https://x.com/AzertyBetamax/status/1858174714910212557
AzOgZ,0x2d0DDb67B7D551aFa7c8FA4D31F86DA9cc947450,azogzz,Azogz,Ned Ryerson,https://x.com/azogzz/status/1858935769177747516?s=46&t=nXKtpfYp18gJgq4884_N7g
b1337,0xA03EbABDEa8F08D3C0Abe3916CF66D4FBF1aD683,b1337art,b1337,CyphrETH,https://x.com/b1337art/status/1858619875163259185
Bageta,0xbC73b021c2B73cBe7fbd3aEE756202D4609f2906,Kristofu_34,chishya_34,Zdunsky,https://x.com/Kristofu_34/status/1861344031302615341?t=omVThu4VgEnnTcmAOQW_Lg&s=19
Baku,0x547a4eb481DEc372eBd6e9190a79c6dAB883290C,bakuartiste,bakuartiste,Dro,https://x.com/bakuartiste/status/1859234734154322195
Balyan,0x6c931dEDCC09d6EC05f4F1B9FfdC5c81dd53Efa2,mattlabart,balyan,ye,https://x.com/MattLabArt/status/1855668158494892105
Bankart,0x850406d0b09867A22aeCBAddB7daf20EC20Bc750,bankarteth,bankart,zeroXnft,https://x.com/bankarteth/status/1857581519335993807
Banxbuw,0xc9Ec8e13D94abCc1663c18B4Dd9902E7E83771C7,elmopar,banxbuw,cssis,https://x.com/elmopar/status/1858639592326398103
Bash,0xD0480eF4DCBB58498137c8243f7E5AE240A45C1b,X__BASH__X,bash.xyz,iiaone,https://x.com/X__BASH__X/status/1854269084697071653
bastiboii,0x72C575aFa7878Bc25A3548E5dC9D1758DB74FD54,bastiboii_eth,bastiboii,Spooky,https://x.com/bastiboii_eth/status/1861083447394967706?s=46&t=p1l4JMZQOiFlBHorIBqz0w
bbdefender,0xdC08FFE9a28836fE9948f82de6bF3E514F4232aA,bbdefender,bbdefender,MaryPat,https://x.com/bbdefender/status/1855603438429553019 (my account is private but i will approve anyone who wants to see i did this)
bclever,0x293561E09aA81557B4A02e613ca5D58D79caeBfb,bclever_nft,bclever,thatFinchguy,https://x.com/bclever_nft/status/1857179313801429289
Bdez808,0x4A85a46aEe0831C6D6aC2775542930c860A54695,web3bdez,bdez808,Nik,https://x.com/web3bdez/status/1848949800885952567
